number,reinhardtii_gene,Gene_name,diff_0,total_0,JC_distance_0,diff_2,total_2,JC_distance_2,diff_4,total_4,JC_distance_4,SFS0,SFS0_theta_pi,SFS4,SFS4_theta_pi,connectivity,max_connectivity,sum_connectivity
318,Cre10_g438050_t1_3|PACid:26904995,Cre10.g438050,120,1052,0.123736696,45,219,0.240125646,119,383,0.401176461,"[1044, 12, 7, 2, 0, 4, 5, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.008833837,"[355, 12, 9, 0, 2, 3, 3, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.030042135,"[['1523', '5'], ['1524', '5'], ['1522', '6'], ['1521', '5'], ['1488', '5'], ['1526', '5'], ['1527', '5'], ['1525', '5'], ['1520', '5']]",6,46
198,Cre02_g084950_t1_2|PACid:26899992,Cre02.g084950,12,621,0.019576968,17,147,0.125599842,59,190,0.400871526,"[619, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.001208415,"[156, 5, 7, 5, 3, 3, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.043180114,"[['432', '4'], ['451', '4']]",4,8
599,Cre12_g552850_t1_3|PACid:26907567,Cre12.g552850,76,1010,0.079295465,30,210,0.15848182,106,343,0.398335708,"[985, 0, 6, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.002623585,"[299, 5, 11, 1, 3, 2, 0, 4, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.026482544,"[['636', '4'], ['682', '7'], ['635', '6']]",7,17
122,Cre02_g085257_t1_2|PACid:26900141,Cre02.g085257,130,1491,0.092688405,40,277,0.160395493,125,405,0.39766261,"[1464, 9, 2, 2, 0, 2, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.004244407,"[365, 5, 9, 2, 8, 2, 4, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.026864547,"[['237', '3'], ['243', '2'], ['248', '2'], ['242', '4'], ['236', '4']]",4,15
15,Cre16_g663950_t1_2|PACid:26892450,Cre16.g663950,7,564,0.012515189,13,141,0.098377587,40,130,0.396050573,"[693, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.000160102,"[170, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.004948119,"[['1675', '7']]",7,7
428,Cre10_g463150_t1_3|PACid:26905315,Cre10.g463150,89,591,0.1680983,28,123,0.271290419,65,212,0.394207065,"[418, 4, 1, 4, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.008204055,"[137, 4, 4, 5, 2, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.040580789,"[['100', '3'], ['99', '3'], ['1473', '3'], ['1470', '3'], ['481', '3'], ['101', '3'], ['1469', '3'], ['1471', '3'], ['1474', '3'], ['1639', '3'], ['1472', '3']]",3,33
287,Cre06_g308100_t1_2|PACid:26894000,Cre06.g308100,94,656,0.159020033,27,137,0.228645307,72,235,0.393833686,"[612, 9, 4, 1, 1, 1, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.010564393,"[180, 18, 1, 7, 1, 1, 2, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.037688596,"[['1466', '5'], ['1425', '5'], ['1435', '3'], ['1440', '3'], ['1434', '3'], ['1468', '5'], ['1467', '5'], ['1426', '5'], ['1424', '5'], ['95', '5'], ['1465', '5'], ['1439', '3'], ['1436', '3'], ['1463', '5'], ['1422', '5'], ['96', '5'], ['1464', '5'], ['1437', '3'], ['1421', '5'], ['1427', '5'], ['1423', '5'], ['1438', '3']]",5,96
259,Cre16_g649050_t1_3|PACid:26891421,Cre16.g649050,304,2071,0.163354604,56,443,0.138436084,200,653,0.393657431,"[2012, 9, 12, 3, 4, 3, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005497079,"[540, 34, 20, 14, 3, 5, 5, 5, 7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.040734242,"[['396', '4'], ['395', '4']]",4,8
498,Cre07_g352400_t1_2|PACid:26890015,Cre07.g352400,136,1581,0.091367584,37,290,0.139851055,183,598,0.393220381,"[1566, 12, 13, 4, 2, 2, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006909895,"[466, 27, 36, 13, 8, 7, 2, 7, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.050408781,"[['770', '4'], ['783', '4'], ['771', '4'], ['784', '4']]",4,16
338,Cre10_g456750_t1_2|PACid:26904887,Cre10.g456750,17,441,0.039574734,17,115,0.164645183,36,118,0.391642037,"[434, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.002307681,"[102, 5, 0, 0, 0, 1, 2, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.039613527,"[['1724', '4']]",4,4
627,Cre03_g203600_t1_2|PACid:26901992,Cre03.g203600,66,819,0.085252968,23,177,0.142696956,79,259,0.391531731,"[833, 6, 6, 4, 1, 3, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.007893472,"[237, 11, 2, 3, 6, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.025646761,"[['961', '5']]",5,5
364,Cre01_g031550_t1_3|PACid:26902907,Cre01.g031550,106,694,0.170787685,22,156,0.156222782,74,243,0.390702003,"[738, 13, 1, 2, 3, 3, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.009304114,"[264, 7, 2, 1, 4, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.017266954,"[['421', '4']]",4,4
606,Cre16_g674950_t1_2|PACid:26892148,Cre16.g674950,28,1086,0.026236279,26,232,0.121382269,102,335,0.39061928,"[1078, 8, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.001567907,"[304, 12, 1, 2, 1, 5, 4, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.025692359,"[['239', '5']]",5,5
189,Cre07_g339554_t1_2|PACid:26889791,Cre07.g339554,181,1388,0.14325351,37,264,0.155146999,152,500,0.389815691,"[1171, 0, 5, 2, 3, 0, 5, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005997693,"[393, 2, 10, 3, 3, 0, 2, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.020946156,"[['1907', '4'], ['1956', '4'], ['2149', '4']]",4,12
339,Cre10_g436500_t1_2|PACid:26904523,Cre10.g436500,19,610,0.031812805,21,127,0.186800427,57,188,0.388457319,"[609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[169, 5, 1, 0, 4, 1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.027874934,"[['407', '5']]",5,5
94,Cre02_g091200_t1_3|PACid:26899755,Cre02.g091200,45,963,0.048248144,35,202,0.197020764,92,304,0.387518057,"[984, 5, 4, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003159806,"[294, 3, 3, 3, 2, 3, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.019084129,"[['133', '4']]",4,4
160,Cre02_g073700_t1_2|PACid:26900411,Cre02.g073700,5,777,0.006462772,17,172,0.10598515,69,228,0.387518057,"[781, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.000142086,"[220, 3, 3, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.011196363,"[['490', '4'], ['491', '4']]",4,8
384,Cre12_g508550_t1_3|PACid:26906338,Cre12.g508550,102,912,0.121115602,38,169,0.267294911,93,308,0.386373019,"[1077, 5, 0, 3, 6, 2, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.007723223,"[345, 9, 1, 2, 10, 7, 3, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.033771907,"[['625', '3'], ['612', '5']]",5,8
311,Cre02_g147650_t1_2|PACid:26900830,Cre02.g147650,37,852,0.044735257,24,206,0.126615652,87,289,0.38485132,"[844, 4, 1, 0, 1, 0, 0, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005407219,"[257, 8, 0, 1, 0, 0, 0, 6, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.02832244,"[['1387', '2']]",2,2
14,Cre13_g561850_t1_1|PACid:26899332,Cre13.g561850,21,671,0.03196831,31,153,0.236189759,64,213,0.383902099,"[734, 2, 0, 0, 1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003981467,"[233, 0, 0, 0, 2, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.009446916,"[['188', '5'], ['189', '5']]",5,10
295,Cre04_g226050_t1_3|PACid:26906128,Cre04.g226050,78,1438,0.056303484,41,346,0.128978016,126,420,0.383119218,"[1407, 8, 2, 2, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.002992583,"[350, 15, 14, 6, 6, 3, 1, 4, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.034565733,"[['170', '5']]",5,5
529,Cre17_g713850_t1_3|PACid:26896310,Cre17.g713850,32,874,0.037537154,20,168,0.12963211,81,270,0.383119218,"[933, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00177683,"[263, 11, 3, 0, 0, 2, 2, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.025258715,"[['1567', '4'], ['1568', '4']]",4,8
697,Cre04_g223800_t1_2|PACid:26905811,Cre04.g223800,15,298,0.05210428,16,70,0.272625682,24,80,0.383119218,"[296, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003004781,"[76, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.014643832,"[['122', '3'], ['124', '3'], ['121', '3'], ['123', '3'], ['615', '3']]",3,15
351,Cre13_g576150_t1_3|PACid:26898722,Cre13.g576150,123,1094,0.121808548,47,240,0.226955792,110,367,0.382665223,"[1343, 19, 14, 3, 3, 2, 3, 8, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.012480259,"[385, 15, 14, 3, 4, 2, 6, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03149275,"[['1763', '5']]",5,5
164,Cre04_g215000_t1_2|PACid:26906042,Cre04.g215000,59,613,0.103008804,25,157,0.178992024,56,187,0.382228481,"[737, 6, 1, 3, 2, 0, 6, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.009079621,"[206, 9, 2, 3, 6, 1, 6, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.045204693,"[['1611', '7']]",7,7
461,Cre05_g246350_t1_3|PACid:26897809,Cre05.g246350,67,736,0.097049367,36,192,0.215761554,73,244,0.38175434,"[591, 10, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00550055,"[166, 10, 3, 0, 3, 2, 5, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.046757164,"[['461', '5'], ['460', '5']]",5,10
718,Cre12_g516350_t1_2|PACid:26907664,Cre12.g516350,72,782,0.098232835,25,178,0.155513479,75,251,0.381129827,"[724, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.001282086,"[210, 1, 9, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.016135621,"[['513', '6']]",6,6
630,Cre12_g554850_t1_2|PACid:26907008,Cre12.g554850,11,284,0.039768351,13,59,0.260876996,23,77,0.380957833,"[304, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003097099,"[74, 1, 2, 0, 0, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.042129302,"[['314', '5'], ['417', '5'], ['299', '5'], ['326', '5'], ['415', '5'], ['366', '5'], ['310', '5'], ['330', '5'], ['419', '5']]",5,45
359,Cre13_g572200_t1_2|PACid:26898557,Cre13.g572200,81,845,0.102561551,21,136,0.172892744,95,319,0.379470844,"[934, 9, 2, 13, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006597158,"[299, 15, 8, 12, 4, 1, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.032907737,"[['1812', '4'], ['2090', '4'], ['2093', '4'], ['1870', '4'], ['1855', '4'], ['1856', '4'], ['2050', '4'], ['1891', '4'], ['2048', '4'], ['2109', '4']]",4,40
475,Cre02_g119100_t1_2|PACid:26900120,Cre02.g119100,100,1010,0.10618408,34,204,0.188485821,106,356,0.37938322,"[972, 3, 2, 2, 2, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003653223,"[308, 3, 5, 9, 2, 2, 4, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.034174765,"[['835', '5']]",5,5
685,Cre02_g092600_t1_2|PACid:26899501,Cre02.g092600,25,683,0.037526587,22,172,0.140237677,53,178,0.37938322,"[678, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00097078,"[170, 8, 1, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.017594065,"[['529', '6']]",6,6
443,Cre12_g560550_t1_1|PACid:26906901,Cre12.g560550,41,725,0.058797415,23,163,0.156319657,78,262,0.379312103,"[744, 2, 0, 4, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003819146,"[253, 0, 3, 2, 0, 1, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.013718035,"[['833', '5'], ['737', '5']]",5,10
48,Cre03_g160400_t1_2|PACid:26901303,Cre03.g160400,139,1357,0.110136858,63,276,0.27217912,129,434,0.378525023,"[1284, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.000284835,"[382, 7, 0, 1, 8, 9, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.026207093,"[['1985', '4']]",4,4
83,Cre03_g189500_t1_2|PACid:26901955,Cre03.g189500,15,427,0.035978121,10,85,0.127969138,41,138,0.378303792,"[425, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00235172,"[123, 3, 1, 0, 2, 3, 3, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.043118446,"[['443', '5']]",5,5
725,Cre06_g275150_t1_2|PACid:26893160,Cre06.g275150,183,1228,0.166137159,45,248,0.207740088,128,431,0.378108922,"[2972, 65, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003786445,"[1063, 68, 21, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01086304,"[['1003', '5'], ['1258', '5'], ['1005', '5'], ['1035', '5'], ['1000', '5'], ['999', '5'], ['1261', '5'], ['1023', '5'], ['1263', '5'], ['1010', '5'], ['997', '5'], ['1031', '4'], ['1009', '5'], ['1017', '5'], ['1011', '5'], ['1259', '5'], ['1257', '5'], ['1008', '5'], ['1015', '5'], ['1001', '4'], ['1002', '5'], ['1024', '5'], ['1026', '5'], ['1014', '5'], ['1022', '5'], ['1019', '4'], ['1007', '4'], ['1027', '5'], ['1260', '5'], ['1036', '5'], ['1012', '5'], ['996', '5'], ['1020', '5'], ['1032', '5'], ['1029', '5'], ['1013', '4'], ['995', '4'], ['1004', '5'], ['998', '5'], ['1016', '5'], ['1033', '5'], ['1028', '5'], ['1018', '5'], ['1030', '5'], ['1021', '5'], ['1034', '5'], ['1262', '5'], ['1006', '5'], ['1025', '4']]",5,238
675,Cre16_g686750_t1_2|PACid:26891637,Cre16.g686750,76,1150,0.06918182,47,248,0.218454555,91,307,0.377171097,"[1069, 2, 1, 1, 2, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.003794481,"[243, 13, 8, 2, 5, 7, 3, 1, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.04884999,"[['1832', '4'], ['1960', '4'], ['1941', '4'], ['1988', '4']]",4,16
545,Cre09_g391900_t1_3|PACid:26894813,Cre09.g391900,44,227,0.224252908,17,53,0.418533522,16,54,0.376971642,"[226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[54, 3, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.018627451,"[['314', '5'], ['417', '5'], ['299', '5'], ['326', '5'], ['415', '5'], ['366', '5'], ['310', '5'], ['330', '5'], ['419', '5']]",5,45
716,Cre13_g585850_t1_2|PACid:26899164,Cre13.g585850,15,342,0.045194394,12,75,0.179963002,32,108,0.376971642,"[335, 4, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.005983346,"[89, 4, 1, 2, 3, 2, 2, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.062273057,"[['713', '5']]",5,5
660,Cre10_g456400_t1_3|PACid:26905503,Cre10.g456400,144,1431,0.108051673,69,283,0.294880102,141,476,0.376843031,"[1391, 27, 6, 3, 0, 1, 4, 5, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.009806183,"[387, 29, 7, 2, 2, 1, 4, 15, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.04618069,"[['1868', '4'], ['1890', '4'], ['2107', '4'], ['2139', '4']]",4,16
672,Cre03_g159800_t1_2|PACid:26902494,Cre03.g159800,40,1420,0.02871164,48,358,0.147714914,126,426,0.376109821,"[1413, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.01168027,"[402, 6, 0, 1, 3, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 7.857928650007858e-05",,"[['411', '4'], ['399', '4']]",4,8
74,Cre07_g333900_t1_1|PACid:26888964,Cre07.g333900,3,215,0.014084921,10,59,0.192126605,13,44,0.375581466,"[214, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.002431981,"[44, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006535948,"[['626', '5']]",5,5
623,Cre01_g012100_t1_3|PACid:26903925,Cre01.g012100,85,1037,0.086801964,48,244,0.228158531,91,308,0.375581466,"[1373, 13, 4, 4, 3, 0, 1, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006568488,"[435, 13, 0, 2, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.008868158,"[['170', '5']]",5,5
511,Cre09_g400750_t1_2|PACid:26895290,Cre09.g400750,57,1214,0.048486268,27,221,0.133355157,113,383,0.3748964,"[1194, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.001047497,"[338, 12, 6, 3, 3, 4, 1, 2, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.034352527,"[['1943', '2']]",2,2
158,Cre12_g488000_t1_2|PACid:26906791,Cre12.g488000,80,1250,0.066896684,45,268,0.190086676,113,385,0.372374048,"[1213, 3, 1, 1, 0, 1, 0, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.00474761,"[358, 3, 1, 1, 0, 4, 7, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.022073913,"[['1369', '4'], ['1367', '4'], ['186', '4'], ['187', '4']]",4,16
696,Cre17_g700100_t1_3|PACid:26896878,Cre17.g700100,5,235,0.021584223,7,42,0.188485821,19,65,0.370407049,"[229, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.004544307,"[54, 4, 0, 1, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.049773756,"[['135', '2']]",2,2
43,Cre02_g093950_t1_2|PACid:26900655,Cre02.g093950,32,705,0.046821637,18,154,0.127063614,63,216,0.369357364,"[707, 2, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.002337541,"[212, 5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.006625481,"[['348', '4'], ['352', '4'], ['294', '4']]",4,12
615,Cre03_g193800_t1_3|PACid:26902278,Cre03.g193800,207,1118,0.21263748,49,281,0.198465498,90,309,0.368695696,"[972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[249, 6, 0, 2, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.013071895,"[['1771', '6']]",6,6
411,Cre12_g531200_t1_3|PACid:26906643,Cre12.g531200,171,2187,0.082572452,76,446,0.193305889,196,673,0.368648527,"[2365, 21, 1, 1, 0, 0, 8, 11, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.008461935,"[646, 29, 8, 1, 1, 0, 12, 5, 16, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.033521627,"[['522', '5']]",5,5
40,Cre02_g082700_t1_2|PACid:26900450,Cre02.g082700,94,1166,0.085288166,28,206,0.149963841,129,444,0.367516872,"[1123, 9, 4, 2, 1, 6, 4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.007630946,"[364, 11, 2, 10, 13, 13, 7, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.05632716,"[['516', '4']]",4,4
